2024-07-04 12:47:10 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.732 seconds (process running for 0.91)
2024-07-04 12:49:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 12:49:14 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30264 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 12:49:14 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 12:49:14 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 12:49:14 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 12:49:14 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 12:49:14 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 12:49:14 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-04 12:49:14 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 363 ms
2024-07-04 12:49:14 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-04 12:49:14 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-04 12:49:14 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.74 seconds (process running for 1.047)
2024-07-04 12:49:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 12:49:47 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30275 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 12:49:47 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 12:49:47 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 12:49:47 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 12:49:47 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 12:49:47 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 12:49:47 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-04 12:49:47 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 357 ms
2024-07-04 12:49:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-04 12:49:48 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-04 12:49:48 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.704 seconds (process running for 0.869)
2024-07-04 14:00:02 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-04 14:00:02 [main] INFO  o.example.day0704.Day0704Application - Starting Day0704Application using Java 17.0.10 with PID 30781 (/Users/kangking/Desktop/beyond/beyond/day0704/build/classes/java/main started by kangking in /Users/kangking/Desktop/beyond/beyond/day0704)
2024-07-04 14:00:02 [main] INFO  o.example.day0704.Day0704Application - No active profile set, falling back to 1 default profile: "default"
2024-07-04 14:00:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-04 14:00:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-04 14:00:02 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-04 14:00:02 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-04 14:00:02 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-04 14:00:02 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 432 ms
2024-07-04 14:00:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-04 14:00:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-04 14:00:02 [main] INFO  o.example.day0704.Day0704Application - Started Day0704Application in 0.846 seconds (process running for 1.052)
